symbol,timestamp_utc,open,high,low,close,volume,ema20,ema50,ema200,rsi14,macd_line,macd_signal,macd_hist,atr14,adx14,bb_upper,bb_mid,bb_lower,bb_width_pct,atr_percentile,bb_width_percentile,ema_stack,higher_high_higher_low,lower_high_lower_low,regime,strong_uptrend,panic,compression,supertrend_dir_10_3,donchian_high20,donchian_low10,keltner_upper_20_10_2,keltner_mid20,atr_breakout_level_14_1p5
BTC/USD,2025-07-22T03:00:00+00:00,116975.25,117463.81,116660.5,117236.82,0.1452,117636.787807,117916.367386,117639.129541,44.29,-272.117341,-214.695818,-57.421522,702.002317,23.66,119246.488211,117833.227,116419.965789,2.399,82.5,73.6,MIXED,False,True,NEUTRAL,False,False,False,-1,119481.1,116178.21,119116.819677,117636.787807,118028.253475
BTC/USD,2025-07-22T04:00:00+00:00,117236.11,117323.54,116600.0,116600.0,0.3842,117538.046111,117864.745135,117628.789943,38.69,-320.123481,-235.781351,-84.34213,703.540723,25.25,119105.437156,117710.7175,116315.997844,2.37,82.7,72.8,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,119014.782794,117538.046111,118292.131084
BTC/USD,2025-07-22T05:00:00+00:00,116636.77,117344.58,116600.01,117341.72,0.2531,117519.348387,117844.234346,117625.933526,47.09,-294.918451,-247.608771,-47.309681,706.4721,26.66,118979.411654,117645.391,116311.370346,2.268,82.9,71.5,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,118997.327401,117519.348387,117659.70815
BTC/USD,2025-07-22T06:00:00+00:00,117356.95,117750.0,117345.31,117750.0,0.1369,117541.315207,117840.538881,117627.168018,51.06,-239.240683,-245.935153,6.694471,685.172664,26.77,118856.344936,117600.9035,116345.462064,2.135,80.3,68.8,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,118953.15232,117541.315207,118369.478996
BTC/USD,2025-07-22T07:00:00+00:00,117750.0,118525.0,117724.67,117891.63,0.2169,117574.678521,117842.542455,117629.799481,52.39,-181.59399,-233.066921,51.472931,693.398188,25.11,118813.983576,117584.0055,116354.027424,2.092,81.2,67.6,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,119005.397922,117574.678521,118790.097282
BTC/USD,2025-07-22T08:00:00+00:00,117810.53,118332.36,117499.64,118147.25,0.2162,117629.209138,117854.49177,117634.948242,54.79,-113.968416,-209.24722,95.278804,703.349746,23.96,118802.755331,117580.221,116357.686669,2.079,82.4,67.3,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,119083.400599,117629.209138,118946.654619
BTC/USD,2025-07-22T09:00:00+00:00,118124.14,118588.44,117804.9,118358.7,0.2072,117698.684458,117874.264642,117642.149752,56.73,-42.818824,-175.961541,133.142716,709.077621,22.39,118704.331077,117557.947,116411.562923,1.95,83.6,63.7,MIXED,False,True,NEUTRAL,False,False,False,-1,119190.11,116178.21,119164.164773,117698.684458,119210.866432
BTC/USD,2025-07-22T10:00:00+00:00,118465.73,118843.91,118334.73,118843.91,0.4025,117807.753557,117912.28995,117654.107566,60.88,52.119332,-130.345366,182.464698,694.79922,21.13,118693.848086,117556.066,116418.283914,1.936,81.3,62.9,MIXED,False,True,NEUTRAL,False,False,False,-1,119114.82,116178.21,119228.521841,117807.753557,119400.89883
BTC/USD,2025-07-22T11:00:00+00:00,118887.7,119171.5,118793.63,119171.48,0.9331,117937.632266,117961.669952,117669.205799,63.43,152.038066,-73.86868,225.906746,672.161418,20.52,118901.069286,117599.0995,116297.129714,2.214,78.4,70.9,MIXED,False,True,NEUTRAL,False,False,False,1,119171.5,116600.0,119291.897722,117937.632266,119852.152128
BTC/USD,2025-07-22T12:00:00+00:00,119171.52,119399.93,118916.09,119011.77,0.3419,118039.931098,118002.850346,117682.564647,61.33,215.848948,-15.925154,231.774102,658.709889,20.32,119100.216916,117660.612,116221.007084,2.447,76.0,75.7,UP,False,True,NEUTRAL,False,False,False,1,119399.93,116600.0,119355.538008,118039.931098,120159.544833
